BehaviorSpace results (NetLogo 6.4.0),Table version 2.0,,,,,,,,
红绿__Traffic 2 Lanes.nlogo,,,,,,,,,
experiment21,,,,,,,,,
01/25/2024 04:46:40:149 +0800,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,0.035224419,23.76629099,560.458621
-20,20,-8,8,,,,,,
[run number],acceleration,max-patience,number-of-cars,deceleration,[step],count turtles,mean [speed] of turtles,mean [patience] of turtles,average-wait-time
3,0.005,50,60,0.02,72,60,0.025833333,22.2,10.21666667
2,0.005,50,60,0.02,76,60,0.032916667,23.35,11.51666667
3,0.005,50,60,0.02,73,60,0.024583333,21.53333333,10.4
2,0.005,50,60,0.02,77,60,0.034833333,22.7,11.65
3,0.005,50,60,0.02,74,60,0.028333333,20.88333333,10.53333333
2,0.005,50,60,0.02,78,60,0.0355,22.9,11.81666667
3,0.005,50,60,0.02,75,60,0.026916667,20.13333333,10.7
2,0.005,50,60,0.02,79,60,0.03625,24.76666667,11.95
3,0.005,50,60,0.02,76,60,0.025416667,21.08333333,10.85
2,0.005,50,60,0.02,80,60,0.036583333,24.96666667,12.11666667
3,0.005,50,60,0.02,77,60,0.028916667,22.96666667,10.95
2,0.005,50,60,0.02,81,60,0.038333333,25.13333333,12.3
3,0.005,50,60,0.02,78,60,0.026583333,22.25,11.08333333
2,0.005,50,60,0.02,82,60,0.03775,24.48333333,12.5
3,0.005,50,60,0.02,79,60,0.026833333,21.6,11.2
2,0.005,50,60,0.02,83,60,0.038583333,25.53333333,12.61666667
3,0.005,50,60,0.02,80,60,0.027,23.4,11.38333333
2,0.005,50,60,0.02,84,60,0.038166667,24.86666667,12.73333333
3,0.005,50,60,0.02,81,60,0.025083333,22.68333333,11.53333333
2,0.005,50,60,0.02,85,60,0.035583333,24.93333333,12.96666667
3,0.005,50,60,0.02,82,60,0.025083333,22.76666667,11.71666667
2,0.005,50,60,0.02,86,60,0.035916667,24.23333333,13.13333333
3,0.005,50,60,0.02,83,60,0.027416667,22.06666667,11.85
2,0.005,50,60,0.02,87,60,0.03875,23.58333333,13.23333333
3,0.005,50,60,0.02,84,60,0.0285,21.43333333,11.96666667
2,0.005,50,60,0.02,88,60,0.036083333,25.36666667,13.35
3,0.005,50,60,0.02,85,60,0.02975,21.58333333,12.08333333
2,0.005,50,60,0.02,89,60,0.0365,24.71666667,13.53333333
1,0.005,50,60,0.02,7,60,0.286135265,27.11666667,0.733333333
3,0.005,50,60,0.02,86,60,0.029666667,20.9,12.2
2,0.005,50,60,0.02,90,60,0.036583333,24.96666667,13.71666667
3,0.005,50,60,0.02,87,60,0.028666667,20.15,12.36666667
3,0.005,50,60,0.02,88,60,0.027666667,21.06666667,12.53333333
2,0.005,50,60,0.02,91,60,0.037916667,24.28333333,13.83333333
3,0.005,50,60,0.02,89,60,0.026916667,20.31666667,12.68333333
2,0.005,50,60,0.02,92,60,0.038166667,23.63333333,13.96666667
2,0.005,50,60,0.02,93,60,0.038916667,22.96666667,14.16666667
3,0.005,50,60,0.02,90,60,0.029666667,22.05,12.81666667
2,0.005,50,60,0.02,94,60,0.041166667,22.4,14.26666667
3,0.005,50,60,0.02,91,60,0.02975,22.11666667,12.91666667
2,0.005,50,60,0.02,95,60,0.04275,21.7,14.43333333
3,0.005,50,60,0.02,92,60,0.031,23.01666667,13.01666667
2,0.005,50,60,0.02,96,60,0.04525,21.13333333,14.51666667
3,0.005,50,60,0.02,93,60,0.031583333,23.1,13.16666667
2,0.005,50,60,0.02,97,60,0.048583333,20.55,14.61666667
3,0.005,50,60,0.02,94,60,0.028833333,23.08333333,13.31666667
2,0.005,50,60,0.02,98,60,0.048916667,20,14.71666667
3,0.005,50,60,0.02,95,60,0.032,23.16666667,13.46666667
2,0.005,50,60,0.02,99,60,0.048416667,19.38333333,14.81666667
3,0.005,50,60,0.02,96,60,0.032666667,23.21666667,13.61666667
3,0.005,50,60,0.02,97,60,0.03475,23.35,13.73333333
2,0.005,50,60,0.02,100,60,0.051333333,21.28333333,14.9
3,0.005,50,60,0.02,98,60,0.029833333,23.38333333,13.83333333
2,0.005,50,60,0.02,101,60,0.048666667,23.16666667,15.06666667
2,0.005,50,60,0.02,102,60,0.043416667,23.4,15.2
3,0.005,50,60,0.02,99,60,0.02925,23.4,13.96666667
3,0.005,50,60,0.02,100,60,0.025,23.46666667,14.1
2,0.005,50,60,0.02,103,60,0.0375,22.71666667,15.31666667
3,0.005,50,60,0.02,101,60,0.0285,24.38333333,14.2
2,0.005,50,60,0.02,104,60,0.033166667,22.95,15.41666667
3,0.005,50,60,0.02,102,60,0.029833333,24.55,14.26666667
2,0.005,50,60,0.02,105,60,0.03,23.11666667,15.53333333
3,0.005,50,60,0.02,103,60,0.023666667,23.76666667,14.36666667
2,0.005,50,60,0.02,106,60,0.029416667,24.15,15.66666667
3,0.005,50,60,0.02,104,60,0.024083333,24.66666667,14.5
1,0.005,50,60,0.02,8,60,0.269124257,26.58333333,0.9
2,0.005,50,60,0.02,107,60,0.035083333,23.61666667,15.75
3,0.005,50,60,0.02,105,60,0.025833333,24.75,14.6
2,0.005,50,60,0.02,108,60,0.032833333,23.76666667,15.81666667
3,0.005,50,60,0.02,106,60,0.025416667,24.01666667,14.73333333
2,0.005,50,60,0.02,109,60,0.033166667,24.85,15.93333333
3,0.005,50,60,0.02,107,60,0.0275,25.86666667,14.85
2,0.005,50,60,0.02,110,60,0.035166667,25.93333333,16.01666667
3,0.005,50,60,0.02,108,60,0.027583333,26,14.98333333
2,0.005,50,60,0.02,111,60,0.035583333,25.3,16.11666667
3,0.005,50,60,0.02,109,60,0.029,25.28333333,15.06666667
2,0.005,50,60,0.02,112,60,0.038083333,25.56666667,16.21666667
3,0.005,50,60,0.02,110,60,0.026666667,24.55,15.16666667
2,0.005,50,60,0.02,113,60,0.038416667,26.58333333,16.28333333
3,0.005,50,60,0.02,111,60,0.027,24.7,15.26666667
2,0.005,50,60,0.02,114,60,0.040333333,26.01666667,16.43333333
1,0.005,50,60,0.02,9,60,0.246720063,26.05,1.083333333
3,0.005,50,60,0.02,112,60,0.027666667,24.9,15.35
2,0.005,50,60,0.02,115,60,0.039,25.41666667,16.58333333
3,0.005,50,60,0.02,113,60,0.027,25.08333333,15.46666667
2,0.005,50,60,0.02,116,60,0.041083333,24.85,16.7
3,0.005,50,60,0.02,114,60,0.028083333,24.43333333,15.55
2,0.005,50,60,0.02,117,60,0.042583333,24.26666667,16.8
3,0.005,50,60,0.02,115,60,0.03025,24.66666667,15.61666667
2,0.005,50,60,0.02,118,60,0.042416667,24.43333333,16.95
3,0.005,50,60,0.02,116,60,0.029666667,24.03333333,15.68333333
2,0.005,50,60,0.02,119,60,0.045833333,24.75,17
3,0.005,50,60,0.02,117,60,0.0335,23.41666667,15.71666667
2,0.005,50,60,0.02,120,60,0.040166667,24.13333333,17.11666667
3,0.005,50,60,0.02,118,60,0.03225,22.75,15.83333333
2,0.005,50,60,0.02,121,60,0.041916667,24.43333333,17.23333333
2,0.005,50,60,0.02,122,60,0.041916667,23.85,17.4
3,0.005,50,60,0.02,119,60,0.033083333,23.7,15.93333333
2,0.005,50,60,0.02,123,60,0.042083333,24.11666667,17.55
3,0.005,50,60,0.02,120,60,0.032,23.05,16.01666667
2,0.005,50,60,0.02,124,60,0.044333333,23.61666667,17.61666667
3,0.005,50,60,0.02,121,60,0.02975,22.43333333,16.13333333
2,0.005,50,60,0.02,125,60,0.042833333,25.53333333,17.75
3,0.005,50,60,0.02,122,60,0.0295,24.21666667,16.23333333
2,0.005,50,60,0.02,126,60,0.04325,24.98333333,17.86666667
3,0.005,50,60,0.02,123,60,0.03025,23.5,16.31666667
2,0.005,50,60,0.02,127,60,0.043833333,25.21666667,18
3,0.005,50,60,0.02,124,60,0.029333333,23.6,16.5
2,0.005,50,60,0.02,128,60,0.0445,24.68333333,18.13333333
3,0.005,50,60,0.02,125,60,0.02775,22.88333333,16.65
2,0.005,50,60,0.02,129,60,0.0445,24.1,18.25
2,0.005,50,60,0.02,130,60,0.0435,23.43333333,18.36666667
3,0.005,50,60,0.02,126,60,0.028416667,23.01666667,16.8
1,0.005,50,60,0.02,10,60,0.231470063,25.53333333,1.266666667
2,0.005,50,60,0.02,131,60,0.042583333,22.75,18.51666667
3,0.005,50,60,0.02,127,60,0.024916667,23.06666667,16.98333333
2,0.005,50,60,0.02,132,60,0.0435,22.2,18.66666667
2,0.005,50,60,0.02,133,60,0.042,21.6,18.81666667
3,0.005,50,60,0.02,128,60,0.024916667,24.03333333,17.13333333
2,0.005,50,60,0.02,134,60,0.042166667,21.03333333,18.93333333
3,0.005,50,60,0.02,129,60,0.026833333,25.88333333,17.28333333
2,0.005,50,60,0.02,135,60,0.041833333,21.26666667,19.11666667
2,0.005,50,60,0.02,136,60,0.036333333,21.48333333,19.28333333
2,0.005,50,60,0.02,137,60,0.037083333,21.66666667,19.43333333
2,0.005,50,60,0.02,138,60,0.038333333,21.03333333,19.53333333
2,0.005,50,60,0.02,139,60,0.039166667,20.38333333,19.66666667
2,0.005,50,60,0.02,140,60,0.039583333,22.25,19.81666667
2,0.005,50,60,0.02,141,60,0.039833333,21.65,19.96666667
2,0.005,50,60,0.02,142,60,0.040166667,21.01666667,20.15
2,0.005,50,60,0.02,143,60,0.036,21.16666667,20.36666667
2,0.005,50,60,0.02,144,60,0.036916667,20.5,20.53333333
2,0.005,50,60,0.02,145,60,0.027916667,19.76666667,20.68333333
2,0.005,50,60,0.02,146,60,0.028166667,19.16666667,20.8
2,0.005,50,60,0.02,147,60,0.02925,21.1,20.96666667
2,0.005,50,60,0.02,148,60,0.029333333,20.53333333,21.1
2,0.005,50,60,0.02,149,60,0.029833333,20.68333333,21.3
1,0.005,50,60,0.02,11,60,0.212884314,25.86666667,1.433333333
2,0.005,50,60,0.02,150,60,0.029333333,20.86666667,21.4
2,0.005,50,60,0.02,151,60,0.029583333,21.06666667,21.58333333
2,0.005,50,60,0.02,152,60,0.0305,21.25,21.7
2,0.005,50,60,0.02,153,60,0.026833333,21.45,21.76666667
2,0.005,50,60,0.02,154,60,0.026083333,20.8,21.86666667
2,0.005,50,60,0.02,155,60,0.026416667,21.85,21.98333333
2,0.005,50,60,0.02,156,60,0.027,22.83333333,22.03333333
3,0.005,50,60,0.02,130,60,0.0265,25.2,17.41666667
2,0.005,50,60,0.02,157,60,0.027583333,23.06666667,22.11666667
3,0.005,50,60,0.02,131,60,0.0275,24.48333333,17.6
2,0.005,50,60,0.02,158,60,0.027166667,22.48333333,22.2
3,0.005,50,60,0.02,132,60,0.025916667,24.6,17.73333333
2,0.005,50,60,0.02,159,60,0.027666667,22.6,22.33333333
3,0.005,50,60,0.02,133,60,0.027083333,24.73333333,17.88333333
1,0.005,50,60,0.02,12,60,0.1959231,25.31666667,1.6
3,0.005,50,60,0.02,134,60,0.026583333,24,18.03333333
2,0.005,50,60,0.02,160,60,0.028666667,22.01666667,22.38333333
3,0.005,50,60,0.02,135,60,0.026416667,23.2,18.23333333
2,0.005,50,60,0.02,161,60,0.020916667,23.83333333,22.48333333
2,0.005,50,60,0.02,162,60,0.01875,23.15,22.58333333
3,0.005,50,60,0.02,136,60,0.027083333,22.48333333,18.4
2,0.005,50,60,0.02,163,60,0.01875,24.96666667,22.73333333
3,0.005,50,60,0.02,137,60,0.027333333,22.56666667,18.58333333
2,0.005,50,60,0.02,164,60,0.019416667,24.31666667,22.86666667
3,0.005,50,60,0.02,138,60,0.028583333,21.83333333,18.73333333
2,0.005,50,60,0.02,165,60,0.021833333,23.7,22.93333333
3,0.005,50,60,0.02,139,60,0.03,21.13333333,18.8
2,0.005,50,60,0.02,166,60,0.022333333,23.06666667,23.03333333
3,0.005,50,60,0.02,140,60,0.023833333,21.23333333,18.9
2,0.005,50,60,0.02,167,60,0.022333333,22.36666667,23.15
3,0.005,50,60,0.02,141,60,0.023166667,21.36666667,19.05
2,0.005,50,60,0.02,168,60,0.021,23.35,23.23333333
3,0.005,50,60,0.02,142,60,0.025333333,23.18333333,19.16666667
2,0.005,50,60,0.02,169,60,0.0245,25.98333333,23.31666667
2,0.005,50,60,0.02,170,60,0.023833333,25.31666667,23.36666667
3,0.005,50,60,0.02,143,60,0.0235,24.06666667,19.31666667
2,0.005,50,60,0.02,171,60,0.024333333,24.65,23.45
3,0.005,50,60,0.02,144,60,0.0235,25.01666667,19.46666667
2,0.005,50,60,0.02,172,60,0.02375,25.68333333,23.53333333
2,0.005,50,60,0.02,173,60,0.026333333,25.11666667,23.61666667
3,0.005,50,60,0.02,145,60,0.026083333,25.1,19.58333333
2,0.005,50,60,0.02,174,60,0.026166667,24.43333333,23.71666667
3,0.005,50,60,0.02,146,60,0.0225,24.21666667,19.81666667
2,0.005,50,60,0.02,175,60,0.027666667,23.83333333,23.8
3,0.005,50,60,0.02,147,60,0.02475,25.03333333,20
2,0.005,50,60,0.02,176,60,0.029416667,24.11666667,23.91666667
1,0.005,50,60,0.02,13,60,0.189839767,26.45,1.733333333
3,0.005,50,60,0.02,148,60,0.025666667,24.28333333,20.11666667
2,0.005,50,60,0.02,177,60,0.02875,25.13333333,24.01666667
3,0.005,50,60,0.02,149,60,0.026583333,23.5,20.28333333
2,0.005,50,60,0.02,178,60,0.028416667,24.5,24.08333333
3,0.005,50,60,0.02,150,60,0.026,22.66666667,20.4
2,0.005,50,60,0.02,179,60,0.031583333,24.68333333,24.13333333
3,0.005,50,60,0.02,151,60,0.025833333,23.45,20.53333333
2,0.005,50,60,0.02,180,60,0.029416667,26.53333333,24.21666667
2,0.005,50,60,0.02,181,60,0.03175,25.95,24.33333333
3,0.005,50,60,0.02,152,60,0.026833333,23.48333333,20.63333333
2,0.005,50,60,0.02,182,60,0.0295,26.16666667,24.41666667
3,0.005,50,60,0.02,153,60,0.0285,25.21666667,20.76666667
2,0.005,50,60,0.02,183,60,0.0285,25.58333333,24.51666667
3,0.005,50,60,0.02,154,60,0.022916667,24.4,20.95
2,0.005,50,60,0.02,184,60,0.028416667,25.81666667,24.6
3,0.005,50,60,0.02,155,60,0.023833333,23.6,21.06666667
2,0.005,50,60,0.02,185,60,0.0295,25.15,24.68333333
3,0.005,50,60,0.02,156,60,0.023166667,22.8,21.18333333
2,0.005,50,60,0.02,186,60,0.028583333,24.5,24.8
2,0.005,50,60,0.02,187,60,0.027333333,24.66666667,24.9
3,0.005,50,60,0.02,157,60,0.02525,22.86666667,21.28333333
2,0.005,50,60,0.02,188,60,0.02475,23.96666667,25.06666667
3,0.005,50,60,0.02,158,60,0.024333333,23.71666667,21.41666667
2,0.005,50,60,0.02,189,60,0.026833333,23.31666667,25.18333333
3,0.005,50,60,0.02,159,60,0.026333333,23.7,21.5
2,0.005,50,60,0.02,190,60,0.026833333,23.55,25.31666667
3,0.005,50,60,0.02,160,60,0.0275,22.9,21.58333333
2,0.005,50,60,0.02,191,60,0.028416667,23.75,25.41666667
3,0.005,50,60,0.02,161,60,0.0295,22.93333333,21.66666667
2,0.005,50,60,0.02,192,60,0.026666667,23.11666667,25.55
2,0.005,50,60,0.02,193,60,0.029166667,22.58333333,25.66666667
3,0.005,50,60,0.02,162,60,0.026833333,22.86666667,21.85
2,0.005,50,60,0.02,194,60,0.029666667,23.7,25.75
3,0.005,50,60,0.02,163,60,0.025333333,22.93333333,21.98333333
2,0.005,50,60,0.02,195,60,0.032333333,23.11666667,25.85
3,0.005,50,60,0.02,164,60,0.026916667,22.13333333,22.08333333
3,0.005,50,60,0.02,165,60,0.025666667,21.28333333,22.26666667
2,0.005,50,60,0.02,196,60,0.029416667,24.06666667,25.96666667
2,0.005,50,60,0.02,197,60,0.03175,25.18333333,26.08333333
3,0.005,50,60,0.02,166,60,0.027833333,21.25,22.38333333
1,0.005,50,60,0.02,14,60,0.180399619,25.86666667,1.816666667
3,0.005,50,60,0.02,167,60,0.027166667,20.38333333,22.51666667
2,0.005,50,60,0.02,198,60,0.03225,25.4,26.18333333
2,0.005,50,60,0.02,199,60,0.03575,24.81666667,26.25
3,0.005,50,60,0.02,168,60,0.026833333,20.41666667,22.7
2,0.005,50,60,0.02,200,60,0.032416667,24.13333333,26.35
2,0.005,50,60,0.02,201,60,0.032416667,24.33333333,26.46666667
3,0.005,50,60,0.02,169,60,0.028916667,20.45,22.83333333
